"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"6171","PUBG: BATTLEGROUNDS","Dec 21, 2017","Free","N/A (N/A)","100,000,000 .. 200,000,000","00:00 (00:00)","PUBG Corporation","KRAFTON, Inc."
"1282","Unturned","Jul 7, 2017","Free","N/A (N/A)","50,000,000 .. 100,000,000","00:00 (00:00)","Smartly Dressed Games","Smartly Dressed Games"
"226","ARK: Survival Evolved","Aug 27, 2017","$14.99","N/A (N/A/70%)","20,000,000 .. 50,000,000","00:00 (00:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA"
"1281","Brawlhalla","Oct 17, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","00:00 (00:00)","Blue Mammoth Games","Ubisoft"
"17","Hollow Knight","Feb 24, 2017","$14.99","N/A (N/A/87%)","10,000,000 .. 20,000,000","00:00 (00:00)","Team Cherry","Team Cherry"
"70","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","00:00 (00:00)","Wargaming Group Limited","Wargaming Group Limited"
"1278","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","VRChat Inc.","VRChat Inc."
"1","Divinity: Original Sin 2 - Definitive Edition","Sep 14, 2017","$44.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","00:00 (00:00)","Larian Studios","Larian Studios"
"12","Cuphead","Sep 29, 2017","$19.99","N/A (N/A/88%)","5,000,000 .. 10,000,000","00:00 (00:00)","Studio MDHR Entertainment Inc.","Studio MDHR Entertainment Inc."
"16","Total War: WARHAMMER II","Sep 28, 2017","$14.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","00:00 (00:00)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"69","Little Nightmares","Apr 27, 2017","$3.99","N/A (N/A/81%)","5,000,000 .. 10,000,000","00:00 (00:00)","Tarsier Studios","BANDAI NAMCO Entertainment"
"90","Black Desert","May 24, 2017","$9.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","00:00 (00:00)","Pearl Abyss","Pearl Abyss"
"91","The Elder Scrolls Online","May 22, 2017","$19.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","00:00 (00:00)","ZeniMax Online Studios","Bethesda Softworks"
"284","Fallout Shelter","Mar 29, 2017","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","00:00 (00:00)","Bethesda Game Studios","Bethesda Softworks"
"1274","Business Tour - Board Game with Online Multiplayer","Jul 27, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","8Floor","8Floor"
"1276","Deceit","Mar 3, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","World Makers","World Makers"
"1277","Robocraft","Aug 24, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Freejam","Freejam"
"1279","SCP: Secret Laboratory","Dec 29, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Northwood Studios","Northwood Studios"
"1280","Doki Doki Literature Club!","Sep 22, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Team Salvato","Team Salvato"
"6170","theHunter: Call of the Wild","Feb 16, 2017","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Expansive Worlds","Expansive Worlds"
"28","Battlerite","Nov 8, 2017","Free","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","Stunlock Studios","Stunlock Studios"
"39","Nioh: Complete Edition","Nov 7, 2017","$49.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"40","NieR:Automata","Mar 17, 2017","$15.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Square Enix, PlatinumGames Inc.","Square Enix"
"49","Hellblade: Senua's Sacrifice","Aug 8, 2017","$8.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Ninja Theory","Ninja Theory"
"50","Resident Evil 7 Biohazard","Jan 23, 2017","$7.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"56","TEKKEN 7","Jun 1, 2017","$9.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:00 (00:00)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
