"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"192","New World","Sep 28, 2021","$29.99","N/A (N/A/70%)","50,000,000 .. 100,000,000","00:00 (00:00)","Amazon Games","Amazon Games"
"835","NARAKA: BLADEPOINT","Aug 11, 2021","Free","N/A (N/A)","20,000,000 .. 50,000,000","00:00 (00:00)","24 Entertainment","NetEase Games Global"
"837","Valheim","Feb 2, 2021","$19.99","N/A (N/A)","20,000,000 .. 50,000,000","00:00 (00:00)","Iron Gate AB","Coffee Stain Publishing"
"665","Halo Infinite","Nov 15, 2021","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","343 Industries","Xbox Game Studios"
"832","Battlefield 2042","Nov 19, 2021","$8.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","DICE","Electronic Arts"
"5","It Takes Two","Mar 25, 2021","$39.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","00:00 (00:00)","Hazelight Studios","Electronic Arts"
"662","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","FishSoft LLC","FishSoft LLC"
"664","World of Tanks","Apr 28, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Wargaming Group Limited","Wargaming Group Limited"
"834","Forza Horizon 5","Nov 8, 2021","$59.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Playground Games","Xbox Game Studios"
"836","Forza Horizon 4","Mar 9, 2021","$59.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Playground Games","Xbox Game Studios"
"22","Football Manager 2022","Nov 9, 2021","N/A","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"24","Inscryption","Oct 19, 2021","$7.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","Daniel Mullins Games","Devolver Digital"
"28","Tales of Arise","Sep 9, 2021","$39.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Bandai Namco Studios Inc.","Bandai Namco Entertainment"
"47","Resident Evil Village","May 6, 2021","$15.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"51","Monster Hunter Stories 2: Wings of Ruin","Jul 8, 2021","$39.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"80","Age of Empires IV: Anniversary Edition","Oct 28, 2021","$39.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Relic Entertainment, Forgotten Empires, Climax Studios, World's Edge","Xbox Game Studios"
"101","Hell Let Loose","Jul 27, 2021","$29.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","00:00 (00:00)","Team17","Team17"
"655","Century: Age of Ashes","Dec 2, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Playwing LTD","Playwing LTD"
"657","Bless Unleashed","Aug 6, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","VALOFE","VALOFE"
"660","封灵档案","Mar 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","（Hong Kong）GKD","（Hong Kong）GKD"
"661","Krunker","Feb 1, 2021","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","FRVR","FRVR"
"792","Tribes of Midgard","Jul 27, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Norsfell","Gearbox Publishing"
"820","OUTRIDERS","Apr 1, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","People Can Fly","Square Enix"
"822","Poppy Playtime","Oct 12, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Mob Entertainment","Mob Entertainment"
"823","Cookie Clicker","Sep 1, 2021","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Orteil, DashNet","Playsaurus"
"824","DEVOUR","Jan 28, 2021","$3.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Straight Back Games","Straight Back Games"
"825","Farming Simulator 22","Nov 21, 2021","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Giants Software","Giants Software"
"826","Dyson Sphere Program","Jan 20, 2021","$15.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Youthcat Studio","Gamera Games"
"827","Subnautica: Below Zero","May 13, 2021","$14.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"828","Days Gone","May 17, 2021","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Bend Studio","PlayStation Publishing LLC"
"829","Gunfire Reborn","Nov 17, 2021","$12.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Duoyi Games","Duoyi Games"
"830","FIFA 22","Oct 1, 2021","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","EA Canada & EA Romania","Electronic Arts"
"831","Stumble Guys","Oct 7, 2021","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Scopely","Scopely"
"833","Totally Accurate Battle Simulator","Apr 1, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Landfall","Landfall"
"9716","Capcom Arcade Stadium","May 24, 2021","$10","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"7","DEATHLOOP","Sep 13, 2021","$59.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Arkane Studios","Bethesda Softworks"
"15","F1 2021","Jul 15, 2021","N/A","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Codemasters","Electronic Arts"
"17","Nioh 2 – The Complete Edition","Feb 5, 2021","$49.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"18","Mass Effect Legendary Edition","May 14, 2021","$8.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","BioWare","Electronic Arts"
